Test, Size, Bionomial, , , Binary, , , Sequential
, , Variables, Clauses, Time, Variables, Clauses, Time, Variables, Clauses, Time
1,6,216,3358,2,648,1723,0,739,1630,0
2,9,729,23677,1,2025,8872,2,3192,7801,6
3,9,729,23675,1,2025,8982,1,3192,7799,2
4,12,1728,57504,2,4032,16004,2,6445,14304,5
5,16,4096,246883,4,8192,43193,5,19096,46179,7
6,25,15625,1502796,9,28125,186790,10,74810,180296,14
7,36,46656,6537716,23,77760,600415,22,226488,545012,55
8,49,117649,22599573,130,175273,1449914,159,575764,1381936,630
9,64,out of memory, out of memory, out of memory, 360448,3019102,458,1289552,3095020,1435
10,81,out of memory, out of memory, out of memory, 715149,6953574,154,2623446,6296159,2986
